"trip_id","trip_id_orig","observed","trip_date","julian_date_s","day_id","trip_duration","day_trip","group_type","pooled","harvest","forager_id","age_type","age_dist_1","age_dist_2","sex","dogs","gun","trip_year","a_1_id","a_1_sex","a_1_age_dist_1","a_1_age_dist_2","a_1_firearms"
83,83,NA,1983-12-08,-0.481629198278454,5089,NA,1,"Cooperative",0,0,20,"Exact",43,0,"M",0,1,1983,39,"F",35,0,0
84,84,NA,1984-01-16,-0.478234916206602,5128,NA,1,"Independent",0,0,21,"Exact",57,0,"M",NA,1,1984,NA,NA,NA,NA,NA
85,85,NA,1983-02-13,-0.507564994622346,4791,30,0,"Independent",0,35,21,"Exact",56,0,"M",1,1,1983,NA,NA,NA,NA,NA
86,86,NA,1984-04-08,-0.471011187694713,5211,NA,1,"Independent",0,0,21,"Exact",57,0,"M",NA,1,1984,NA,NA,NA,NA,NA
87,87,NA,1983-09-26,-0.487982598053971,5016,4,1,"Cooperative",0,18,18,"Exact",28,0,"M",0,0,1983,47,"M",NA,0,0
88,88,NA,1983-11-02,-0.484762381729394,5053,NA,1,"Independent",0,12,21,"Exact",56,0,"M",NA,1,1983,NA,NA,NA,NA,NA
89,89,NA,1984-01-10,-0.478757113448426,5122,5,1,"Independent",0,0,22,"Exact",48,0,"M",0,0,1984,NA,NA,NA,NA,NA
90,90,NA,1983-08-07,-0.492334241735832,4966,5,1,"Independent",0,0,22,"Exact",47,0,"M",0,1,1983,NA,NA,NA,NA,NA
91,91,NA,1983-11-15,-0.48363095437211,5066,NA,1,"Independent",0,0,23,"Exact",66,0,"M",NA,0,1983,NA,NA,NA,NA,NA
95,95,NA,1983-02-06,-0.508174224737806,4784,NA,1,"Independent",0,0,27,"Exact",34,0,"M",NA,NA,1983,NA,NA,NA,NA,NA
96,96,NA,1984-04-11,-0.470750089073801,5214,NA,1,"Independent",0,50,27,"Exact",35,0,"M",NA,0,1984,NA,NA,NA,NA,NA
97,97,NA,1983-08-04,-0.492595340356744,4963,NA,1,"Independent",0,0,27,"Exact",34,0,"M",NA,0,1983,NA,NA,NA,NA,NA
98,98,NA,1983-02-24,-0.506607633012336,4802,NA,1,"Independent",0,35,11,"Exact",31,0,"M",1,1,1983,NA,NA,NA,NA,NA
99,99,NA,1983-11-15,-0.48363095437211,5066,NA,1,"Independent",0,7,27,"Exact",34,0,"M",NA,1,1983,NA,NA,NA,NA,NA
101,101,NA,1983-11-01,-0.484849414603031,5052,NA,1,"Independent",0,0,30,"Exact",37,0,"M",NA,1,1983,NA,NA,NA,NA,NA
102,102,NA,1984-05-09,-0.468313168611959,5242,NA,1,"Independent",0,0,28,"Exact",24,0,"M",NA,1,1984,NA,NA,NA,NA,NA
103,103,NA,1983-07-08,-0.494945227944949,4936,NA,1,"Independent",0,0,28,"Exact",23,0,"M",NA,NA,1983,NA,NA,NA,NA,NA
105,105,NA,1983-02-13,-0.507564994622346,4791,NA,1,"Independent",0,0,43,"Exact",34,0,"M",NA,1,1983,NA,NA,NA,NA,NA
106,106,NA,1983-08-19,-0.491289847252186,4978,4,1,"Independent",0,22,29,"Exact",28,0,"M",0,1,1983,NA,NA,NA,NA,NA
107,107,NA,1983-02-07,-0.508087191864169,4785,NA,1,"Independent",0,0,44,"Exact",30,0,"M",NA,1,1983,NA,NA,NA,NA,NA
